OTU.ID	REV1	REV2	REV3	REV4	REV5
22320c30354d459f320466df96dac79a385321fc	0	0	16	1	0
225e0332a518a0ff2a9b555deb1d615824efd7ac	0	4	1	6	6
251b85ac3f20c8c3bfa8138b4fcc6bbb0ae569d5	1	0	16	0	0
2e8362a4060fa3283e1078905206aa269b0f85d6	0	10	0	7	0
5635c5dd8f455fb89a31af6c4ca734af442dfcf2	0	2	0	15	0
704961ea2bf92aa68f98cac4185fea7819f0b2a9	4	0	5	8	0
73f948b09c09bc78e7b1a02bd0fe9213afe8e80e	2	0	4	10	1
7581c569ad00f4a29f2a1cf93417a060febc42ef	1	0	2	13	1
9af50b1f5269aceb7f759b5f51cee5f2fd882f85	0	0	0	17	0
b5008a6c700d24a85aa43126756e0c83f2d51b25	0	0	0	17	0
b98604d27880e95c51f01e31e922c4fc0caf82be	0	0	0	17	0
d9a665a4b97768e71e78e57c1c37225dccae6545	0	0	0	17	0
0025bd44487f10b55470fe5fa1b75feeef4e58ef	1	14	1	0	0
0aabcaa5eeee3130b23da729695ff814411b9e07	0	0	0	16	0
0cdc4f8e094ee834da6d7d9b9443a68d4e896697	0	0	0	15	1
1089d58ec785cef35bfa0b2ac5a101e00e605687	1	0	0	15	0
22783de57452753dbc2386595565133b24343eb8	13	0	1	1	1
3c49df0a3e291bd4c274d48fe3e3f25ea5cd359d	0	0	0	13	3
49a6da47794ffa09cc7b89b74f3c280871f8c432	0	0	0	16	0
5caa9a24f9d8b076c02ed048bae20492228e2d1c	0	1	0	15	0
88474c42a80874a371f940b669b476e2c0ab0588	12	0	1	0	3
a76be4ab34b57afcbfefeac11554946c1eec739f	1	0	0	15	0
ae1a32e35e7cf822d2b013a61ea93c0c8fcc4bc3	0	16	0	0	0
c156e1aacf292a2de357232a362bf5d0c3205fae	3	0	2	8	3
e4e9515dab8e203e35cc8cc71c9ad22ebdb50a63	1	0	1	9	5
017ad004b4e86b1c3fc92698e8aa9f71ee3e4c26	0	0	0	15	0
0362c8d498637671aa16dfd0e50a19762ec0e3ea	0	1	0	14	0
041f6b29340a039854bc5424e29398078ca4d27e	0	13	0	2	0
04aa6dc23bcd437260b4c845eedac00400630cf0	0	1	0	14	0
06b3981eeff95836aa3431abcb01f7d9e40ede64	0	0	0	15	0
0700faab32218c0a49bdc8de2442fc4d70b22b32	0	0	0	15	0
091b1676cf8e320559046a753914434e1330b41d	0	0	15	0	0
0e72cb589e93b433660faa531e048c55e6fe8b07	1	0	5	6	3
1356deb412381cdd95548c55b27fa0a0ca2c926a	0	0	0	15	0
14b79389f6d8a271a1121defeb12f4b126269016	0	0	15	0	0
152115dccd78aa9c79bbf5032f6c3acdf0ee0e66	0	13	0	2	0
22d21b91419aecf79cb6037b2e27e25619683d3b	0	0	0	15	0
37c4387cd15999f577ca41014f0feb13236b0fb9	0	0	0	15	0
4880805ff5dd58b2251a036ea8db89ffd2fc12c7	1	0	0	14	0
5cc30fd3e1fde7c5ac9c50e6dba535feef7c511b	0	0	0	15	0
5dbc51c1cb58eb0acdec1c7602d5794120942150	5	0	5	3	2
5e46c796708a6ed8ec8313ecd5728bd507ddb5a2	9	0	0	0	6
64b0c4e0920c91f7ca1d232b17f93d7b2af579dd	0	0	14	0	1
6d304ef235233e741d54ccbea6a68aa10fb30889	1	0	4	9	1
73c037ab7a0737acb80ac225149ae6afe4eb4f82	0	0	0	15	0
